Taxa,hist,continent,awn,PC1,PC2,PC3,PC4,PC5
11_Murata19905_1966_Kyoto_JPN,hist,asia,pres,0.4260116,0.16259106,-0.7256575,-3.3250175,1.4536452
12_Yao8711_1983_Jiangxi_CHN,hist,asia,abs,1.0362387,0.15221214,-0.3538558,-1.7461665,1.2457224
18_Reed18015_1949_McCreary_2_KY,hist,us,abs,-1.2801057,0.6283971,5.446826,-0.9998834,1.4383105
1_BartleySN_1971_Adams_5_OH,hist,us,abs,-3.3324642,1.0523546,-0.018087503,0.9383677,-1.1415831
23_Reed16339_1949_McCreary_3_KY,hist,us,abs,-3.8359528,2.3364332,-0.43459105,-0.3684721,2.0029874
24_KS595_2019_Hyogo_JPN,contemp,asia,abs,1.0108136,-1.683173,0.1073286,-4.144718,-3.1454747
25_KS599_2019_Hyogo_JPN,contemp,asia,abs,-0.61153084,-0.79827094,-0.1972994,-0.79888874,1.9147747
26_KS602_2019_Shizuoka_JPN,contemp,asia,pres,1.0501285,0.49957427,0.12708464,-0.2571451,1.225934
27_KS612_2019_Shizuoka_JPN,contemp,asia,pres,2.3587267,-1.5610893,0.30011192,-0.5976217,-0.3943423
29_KS626_2019_Kagoshima_JPN,contemp,asia,abs,0.69289637,-4.3562927,-0.15269168,2.32086,3.0779603
2_BartleySN_1971_Adams_6_OH,hist,us,abs,-3.001287,2.3405528,0.054856077,3.1375504,-4.62035
30_KS627_2019_Hukuoka_JPN,contemp,asia,pres,2.2937176,-5.6554174,-0.1056901,-2.0228407,-6.6512938
31_KS634_2019_Hukuoka_JPN,contemp,asia,pres,-0.5743608,0.15681972,-2.2736163,-2.3794835,2.6846132
32_KS635_2019_Hukuoka_JPN,contemp,asia,abs,-0.76979095,0.6283157,0.07378394,-3.8927479,1.1014396
33_OH_1_1_2019_Lawrence_OH,contemp,us,abs,-3.6607149,1.4542508,-0.12982854,-0.07870095,-0.87861866
34_WV_PRD_1_1_Grant_WV,contemp,us,pres,1.3375056,-3.7268333,-0.007473011,3.7260993,1.3858914
36_WV_RT_1_1_2019_Monongalia_WV,contemp,us,pres,2.0971076,-3.4889266,-0.036322244,4.886026,2.1458
37_VA_1_1_2019_Bath_VA,contemp,us,pres,3.328175,3.0175126,-0.4142875,-1.5831138,1.3474011
38_PA_CC_1_1_2019_Clarion_PA,contemp,us,pres,8.587819,6.6179385,0.044527583,2.6792507,-1.620205
3_McCormac1897_1989_Adams_7_OH,hist,us,abs,-3.4404576,0.028855402,-0.45439675,2.1978564,-0.8877382
5_Bartley_1954_Adams_OH,hist,us,abs,-3.7124753,2.1941957,-0.8507213,2.308789,-1.6848743
